workload_id	workload	variant	repeat	seed	file_count	file_size	dirs	ops	workers	depth	branching	cold_fraction	cold_access_fraction
hotcold_cold70_access10	oracle_hotcold_mix	oracle	1	8001	3000	4096	64	12000	8	2	8	0.70	0.10
hotcold_cold90_access10	oracle_hotcold_mix	oracle	1	8001	3000	4096	64	12000	8	2	8	0.90	0.10
ycsb_zipf_hotdirs	hotdirs_zipf	native	2	8002	3000	4096	64	6000	8	2	8	0.90	0.10
ior_mdtest_tree	mdtest_tree	native	0	8000	3000	0	64	6000	8	3	8	0.90	0.10
hotcold_cold70_access10	oracle_hotcold_mix	predictor	2	8002	3000	4096	64	12000	8	2	8	0.70	0.10
hotcold_cold90_access10	oracle_hotcold_mix	native	0	8000	3000	4096	64	12000	8	2	8	0.90	0.10
hotcold_cold90_access20	oracle_hotcold_mix	oracle	2	8002	3000	4096	64	12000	8	2	8	0.90	0.20
ior_mdtest_tree	mdtest_tree	predictor	0	8000	3000	0	64	6000	8	3	8	0.90	0.10
ior_mdtest_tree	mdtest_tree	oracle	2	8002	3000	0	64	6000	8	3	8	0.90	0.10
hotcold_cold90_access20	oracle_hotcold_mix	oracle	1	8001	3000	4096	64	12000	8	2	8	0.90	0.20
ior_mdtest_tree	mdtest_tree	native	2	8002	3000	0	64	6000	8	3	8	0.90	0.10
hotcold_cold90_access20	oracle_hotcold_mix	native	1	8001	3000	4096	64	12000	8	2	8	0.90	0.20
hotcold_cold70_access10	oracle_hotcold_mix	oracle	0	8000	3000	4096	64	12000	8	2	8	0.70	0.10
hotcold_cold90_access20	oracle_hotcold_mix	predictor	1	8001	3000	4096	64	12000	8	2	8	0.90	0.20
filebench_varmail_like	filebench_varmail_like	native	0	8000	3000	4096	64	6000	1	2	8	0.90	0.10
filebench_varmail_like	filebench_varmail_like	native	2	8002	3000	4096	64	6000	1	2	8	0.90	0.10
hotcold_cold90_access10	oracle_hotcold_mix	predictor	2	8002	3000	4096	64	12000	8	2	8	0.90	0.10
ior_mdtest_tree	mdtest_tree	native	1	8001	3000	0	64	6000	8	3	8	0.90	0.10
hotcold_cold90_access10	oracle_hotcold_mix	native	1	8001	3000	4096	64	12000	8	2	8	0.90	0.10
ycsb_zipf_hotdirs	hotdirs_zipf	native	0	8000	3000	4096	64	6000	8	2	8	0.90	0.10
filebench_varmail_like	filebench_varmail_like	predictor	2	8002	3000	4096	64	6000	1	2	8	0.90	0.10
hotcold_cold90_access20	oracle_hotcold_mix	predictor	2	8002	3000	4096	64	12000	8	2	8	0.90	0.20
ycsb_zipf_hotdirs	hotdirs_zipf	predictor	2	8002	3000	4096	64	6000	8	2	8	0.90	0.10
hotcold_cold90_access20	oracle_hotcold_mix	oracle	0	8000	3000	4096	64	12000	8	2	8	0.90	0.20
ycsb_zipf_hotdirs	hotdirs_zipf	oracle	2	8002	3000	4096	64	6000	8	2	8	0.90	0.10
hotcold_cold90_access10	oracle_hotcold_mix	native	2	8002	3000	4096	64	12000	8	2	8	0.90	0.10
hotcold_cold90_access10	oracle_hotcold_mix	predictor	1	8001	3000	4096	64	12000	8	2	8	0.90	0.10
ior_mdtest_tree	mdtest_tree	oracle	1	8001	3000	0	64	6000	8	3	8	0.90	0.10
ycsb_zipf_hotdirs	hotdirs_zipf	predictor	0	8000	3000	4096	64	6000	8	2	8	0.90	0.10
filebench_varmail_like	filebench_varmail_like	predictor	0	8000	3000	4096	64	6000	1	2	8	0.90	0.10
hotcold_cold70_access10	oracle_hotcold_mix	native	0	8000	3000	4096	64	12000	8	2	8	0.70	0.10
ycsb_zipf_hotdirs	hotdirs_zipf	predictor	1	8001	3000	4096	64	6000	8	2	8	0.90	0.10
ycsb_zipf_hotdirs	hotdirs_zipf	oracle	0	8000	3000	4096	64	6000	8	2	8	0.90	0.10
ior_mdtest_tree	mdtest_tree	predictor	1	8001	3000	0	64	6000	8	3	8	0.90	0.10
filebench_varmail_like	filebench_varmail_like	oracle	0	8000	3000	4096	64	6000	1	2	8	0.90	0.10
filebench_varmail_like	filebench_varmail_like	oracle	2	8002	3000	4096	64	6000	1	2	8	0.90	0.10
ior_mdtest_tree	mdtest_tree	predictor	2	8002	3000	0	64	6000	8	3	8	0.90	0.10
hotcold_cold70_access10	oracle_hotcold_mix	native	2	8002	3000	4096	64	12000	8	2	8	0.70	0.10
hotcold_cold70_access10	oracle_hotcold_mix	oracle	2	8002	3000	4096	64	12000	8	2	8	0.70	0.10
ycsb_zipf_hotdirs	hotdirs_zipf	oracle	1	8001	3000	4096	64	6000	8	2	8	0.90	0.10
