workload_id,variant,operation,runs,mean_ops_per_sec,mean_latency_p95_ms,mean_latency_p99_ms
filebench_varmail_like,native,cleanup_delete,3,89.142667,42.993848,116.93759
filebench_varmail_like,native,initial_create,3,105.000333,6.815852,152.094614
filebench_varmail_like,native,mixed_mail_ops,3,61.039,69.778995,229.021829
filebench_varmail_like,oracle,cleanup_delete,3,134773.660667,0.003263,0.005449
filebench_varmail_like,oracle,initial_create,3,13129.958333,0.03313,0.066655
filebench_varmail_like,oracle,mixed_mail_ops,3,645.764667,10.26906,11.236983
filebench_varmail_like,predictor,cleanup_delete,3,227.713333,18.777887,71.444105
filebench_varmail_like,predictor,initial_create,3,9874.891333,0.039804,0.087507
filebench_varmail_like,predictor,mixed_mail_ops,3,210.628,12.477572,82.745726
hotcold_cold70_access10,native,bulk_create,3,99.353667,195.457283,1411.057421
hotcold_cold70_access10,native,cleanup_delete,3,409.814,87.551662,145.92615
hotcold_cold70_access10,native,oracle_access_read,3,5207.882333,1.999886,2.320116
hotcold_cold70_access10,native,oracle_access_stat,3,3068.412,1.746598,2.306555
hotcold_cold70_access10,native,oracle_hot_churn_create,3,74.238,273.729508,401.956295
hotcold_cold70_access10,native,oracle_hot_churn_delete,3,174.357667,124.463887,180.257513
hotcold_cold70_access10,oracle,bulk_create,3,660.608333,3.409247,4.6436
hotcold_cold70_access10,oracle,cleanup_delete,3,710.595,60.426938,100.141577
hotcold_cold70_access10,oracle,oracle_access_read,3,5620.348667,2.067582,2.824397
hotcold_cold70_access10,oracle,oracle_access_stat,3,8061.943333,1.324182,1.573563
hotcold_cold70_access10,oracle,oracle_hot_churn_create,3,165.819333,152.42155,1406.323197
hotcold_cold70_access10,oracle,oracle_hot_churn_delete,3,2792.239,113.080096,164.041927
hotcold_cold70_access10,predictor,bulk_create,3,11420.093333,0.4732,1.20269
hotcold_cold70_access10,predictor,cleanup_delete,3,4359.286,0.006647,0.010792
hotcold_cold70_access10,predictor,oracle_access_read,3,4191.474667,2.303292,2.581291
hotcold_cold70_access10,predictor,oracle_access_stat,3,8318.577333,1.288687,1.470723
hotcold_cold70_access10,predictor,oracle_hot_churn_create,3,121.701667,4.329141,2618.928233
hotcold_cold70_access10,predictor,oracle_hot_churn_delete,3,4527.154667,2.81343,3.566814
hotcold_cold90_access10,native,bulk_create,3,137.484,50.163644,2141.060517
hotcold_cold90_access10,native,cleanup_delete,3,360.256,121.62512,203.470003
hotcold_cold90_access10,native,oracle_access_read,3,5759.398,1.805027,2.074419
hotcold_cold90_access10,native,oracle_access_stat,3,6032.000667,1.50903,1.955759
hotcold_cold90_access10,native,oracle_hot_churn_create,3,64.313,335.409562,490.420603
hotcold_cold90_access10,native,oracle_hot_churn_delete,3,119.617,202.986643,285.193277
hotcold_cold90_access10,oracle,bulk_create,3,4084.844,2.812735,4.406036
hotcold_cold90_access10,oracle,cleanup_delete,3,1614.154333,5.331946,28.771678
hotcold_cold90_access10,oracle,oracle_access_read,3,6207.808,1.939946,2.498645
hotcold_cold90_access10,oracle,oracle_access_stat,3,8351.720667,1.24679,1.420974
hotcold_cold90_access10,oracle,oracle_hot_churn_create,3,116.081,102.116343,1535.169071
hotcold_cold90_access10,oracle,oracle_hot_churn_delete,3,1651.437333,125.888767,255.927167
hotcold_cold90_access10,predictor,bulk_create,3,14622.042333,0.514747,1.3364
hotcold_cold90_access10,predictor,cleanup_delete,3,78466.153,0.006117,0.009811
hotcold_cold90_access10,predictor,oracle_access_read,3,4387.725667,2.21471,2.501904
hotcold_cold90_access10,predictor,oracle_access_stat,3,7863.114667,1.30983,1.469084
hotcold_cold90_access10,predictor,oracle_hot_churn_create,3,113.146333,99.851174,2373.632039
hotcold_cold90_access10,predictor,oracle_hot_churn_delete,3,1585.051333,97.470735,199.518174
hotcold_cold90_access20,native,bulk_create,3,147.589,210.528693,1089.31259
hotcold_cold90_access20,native,cleanup_delete,3,487.894667,70.683063,211.503057
hotcold_cold90_access20,native,oracle_access_read,3,5147.623667,2.081001,2.393813
hotcold_cold90_access20,native,oracle_access_stat,3,5790.264,1.598216,2.086751
hotcold_cold90_access20,native,oracle_hot_churn_create,3,55.514333,354.710122,487.461473
hotcold_cold90_access20,native,oracle_hot_churn_delete,3,129.032333,225.557641,314.684293
hotcold_cold90_access20,oracle,bulk_create,3,4331.927667,2.65432,4.064879
hotcold_cold90_access20,oracle,cleanup_delete,3,948.462333,37.164842,149.352248
hotcold_cold90_access20,oracle,oracle_access_read,3,6064.898667,2.08815,2.512574
hotcold_cold90_access20,oracle,oracle_access_stat,3,7926.840333,1.320888,1.511597
hotcold_cold90_access20,oracle,oracle_hot_churn_create,3,117.103333,281.652577,1050.279043
hotcold_cold90_access20,oracle,oracle_hot_churn_delete,3,1434.521667,1663.580636,1861.820114
hotcold_cold90_access20,predictor,bulk_create,3,11690.975333,0.534392,1.387173
hotcold_cold90_access20,predictor,cleanup_delete,3,19494.699,0.006472,0.009326
hotcold_cold90_access20,predictor,oracle_access_read,3,4223.291333,2.258079,2.50682
hotcold_cold90_access20,predictor,oracle_access_stat,3,7331.881,1.39611,1.576138
hotcold_cold90_access20,predictor,oracle_hot_churn_create,3,102.855333,152.296197,3215.226042
hotcold_cold90_access20,predictor,oracle_hot_churn_delete,3,2647.997333,146.718449,207.846621
ior_mdtest_tree,native,create,3,1807.71,3.28823,69.387689
ior_mdtest_tree,native,delete,3,1815.158667,3.200463,195.944007
ior_mdtest_tree,native,read,3,4626.718,1.974002,4.270482
ior_mdtest_tree,native,stat,3,6127.2,1.648738,1.842136
ior_mdtest_tree,oracle,create,3,26947.464667,0.311239,0.525863
ior_mdtest_tree,oracle,delete,3,211233.011333,0.003112,0.006621
ior_mdtest_tree,oracle,read,3,6809.415667,1.430981,1.597143
ior_mdtest_tree,oracle,stat,3,8056.070333,1.264821,1.418746
ior_mdtest_tree,predictor,create,3,19595.554667,0.444114,0.855845
ior_mdtest_tree,predictor,delete,3,192962.643333,0.004225,0.007212
ior_mdtest_tree,predictor,read,3,6990.603667,1.396112,1.588461
ior_mdtest_tree,predictor,stat,3,8266.349333,1.265143,1.426253
ycsb_zipf_hotdirs,native,skewed_create,3,143.519,6.14713,2296.551405
ycsb_zipf_hotdirs,native,skewed_delete,3,583.217333,71.457291,209.058721
ycsb_zipf_hotdirs,native,skewed_stat,3,3353.822333,1.651209,24.450075
ycsb_zipf_hotdirs,oracle,skewed_create,3,153.691667,6.626358,1704.851804
ycsb_zipf_hotdirs,oracle,skewed_delete,3,1622.569333,4.839795,9.967727
ycsb_zipf_hotdirs,oracle,skewed_stat,3,7805.846333,1.318246,1.529431
ycsb_zipf_hotdirs,predictor,skewed_create,3,14969.304,0.49337,1.20152
ycsb_zipf_hotdirs,predictor,skewed_delete,3,162784.252667,0.00465,0.007594
ycsb_zipf_hotdirs,predictor,skewed_stat,3,7757.023,1.31286,1.467755
