Output directory: results/cloudlab-comprehensive-20260506-3x
Total jobs: 54
Randomized job order: results/cloudlab-comprehensive-20260506-3x/jobs_shuffled.tsv
Started: 2026-05-06T12:46:37-06:00
START hotcold_cold70_access10__oracle__r1 2026-05-06T12:46:37-06:00
DONE hotcold_cold70_access10__oracle__r1 1778093260s
START hotcold_cold90_access10__oracle__r1 2026-05-06T12:47:46-06:00
DONE hotcold_cold90_access10__oracle__r1 1778093283s
START ycsb_zipf_hotdirs__native__r2 2026-05-06T12:48:08-06:00
DONE ycsb_zipf_hotdirs__native__r2 1778093319s
START ior_mdtest_tree__native__r0 2026-05-06T12:48:44-06:00
DONE ior_mdtest_tree__native__r0 1778093339s
START hotcold_cold70_access10__predictor__r2 2026-05-06T12:49:04-06:00
DONE hotcold_cold70_access10__predictor__r2 1778093362s
START hotcold_cold90_access10__native__r0 2026-05-06T12:49:27-06:00
DONE hotcold_cold90_access10__native__r0 1778093472s
START hotcold_cold90_access20__oracle__r2 2026-05-06T12:51:18-06:00
DONE hotcold_cold90_access20__oracle__r2 1778093557s
START ior_mdtest_tree__predictor__r0 2026-05-06T12:52:42-06:00
DONE ior_mdtest_tree__predictor__r0 1778093565s
START ior_mdtest_tree__oracle__r2 2026-05-06T12:52:50-06:00
DONE ior_mdtest_tree__oracle__r2 1778093573s
START hotcold_cold90_access20__oracle__r1 2026-05-06T12:52:58-06:00
DONE hotcold_cold90_access20__oracle__r1 1778093593s
START ior_mdtest_tree__native__r2 2026-05-06T12:53:18-06:00
DONE ior_mdtest_tree__native__r2 1778093613s
START hotcold_cold90_access20__native__r1 2026-05-06T12:53:38-06:00
DONE hotcold_cold90_access20__native__r1 1778093727s
START hotcold_cold70_access10__oracle__r0 2026-05-06T12:55:32-06:00
DONE hotcold_cold70_access10__oracle__r0 1778093751s
START hotcold_cold90_access20__predictor__r1 2026-05-06T12:55:56-06:00
DONE hotcold_cold90_access20__predictor__r1 1778093801s
START filebench_varmail_like__native__r0 2026-05-06T12:56:46-06:00
DONE filebench_varmail_like__native__r0 1778094065s
START filebench_varmail_like__native__r2 2026-05-06T13:01:10-06:00
DONE filebench_varmail_like__native__r2 1778094196s
START hotcold_cold90_access10__predictor__r2 2026-05-06T13:03:21-06:00
DONE hotcold_cold90_access10__predictor__r2 1778094226s
START ior_mdtest_tree__native__r1 2026-05-06T13:03:51-06:00
DONE ior_mdtest_tree__native__r1 1778094238s
START hotcold_cold90_access10__native__r1 2026-05-06T13:04:03-06:00
DONE hotcold_cold90_access10__native__r1 1778094307s
START ycsb_zipf_hotdirs__native__r0 2026-05-06T13:05:12-06:00
DONE ycsb_zipf_hotdirs__native__r0 1778094346s
START filebench_varmail_like__predictor__r2 2026-05-06T13:05:51-06:00
DONE filebench_varmail_like__predictor__r2 1778094406s
START hotcold_cold90_access20__predictor__r2 2026-05-06T13:06:51-06:00
DONE hotcold_cold90_access20__predictor__r2 1778094428s
START ycsb_zipf_hotdirs__predictor__r2 2026-05-06T13:07:13-06:00
DONE ycsb_zipf_hotdirs__predictor__r2 1778094436s
START hotcold_cold90_access20__oracle__r0 2026-05-06T13:07:21-06:00
DONE hotcold_cold90_access20__oracle__r0 1778094541s
START ycsb_zipf_hotdirs__oracle__r2 2026-05-06T13:09:06-06:00
DONE ycsb_zipf_hotdirs__oracle__r2 1778094571s
START hotcold_cold90_access10__native__r2 2026-05-06T13:09:36-06:00
DONE hotcold_cold90_access10__native__r2 1778094641s
START hotcold_cold90_access10__predictor__r1 2026-05-06T13:10:46-06:00
DONE hotcold_cold90_access10__predictor__r1 1778094665s
START ior_mdtest_tree__oracle__r1 2026-05-06T13:11:10-06:00
DONE ior_mdtest_tree__oracle__r1 1778094673s
START ycsb_zipf_hotdirs__predictor__r0 2026-05-06T13:11:18-06:00
DONE ycsb_zipf_hotdirs__predictor__r0 1778094681s
START filebench_varmail_like__predictor__r0 2026-05-06T13:11:26-06:00
DONE filebench_varmail_like__predictor__r0 1778094724s
START hotcold_cold70_access10__native__r0 2026-05-06T13:12:09-06:00
DONE hotcold_cold70_access10__native__r0 1778094790s
START ycsb_zipf_hotdirs__predictor__r1 2026-05-06T13:13:15-06:00
DONE ycsb_zipf_hotdirs__predictor__r1 1778094797s
START ycsb_zipf_hotdirs__oracle__r0 2026-05-06T13:13:22-06:00
DONE ycsb_zipf_hotdirs__oracle__r0 1778094827s
START ior_mdtest_tree__predictor__r1 2026-05-06T13:13:52-06:00
DONE ior_mdtest_tree__predictor__r1 1778094834s
START filebench_varmail_like__oracle__r0 2026-05-06T13:13:59-06:00
DONE filebench_varmail_like__oracle__r0 1778094850s
START filebench_varmail_like__oracle__r2 2026-05-06T13:14:15-06:00
DONE filebench_varmail_like__oracle__r2 1778094867s
START ior_mdtest_tree__predictor__r2 2026-05-06T13:14:32-06:00
DONE ior_mdtest_tree__predictor__r2 1778094875s
START hotcold_cold70_access10__native__r2 2026-05-06T13:14:40-06:00
DONE hotcold_cold70_access10__native__r2 1778094960s
START hotcold_cold70_access10__oracle__r2 2026-05-06T13:16:05-06:00
DONE hotcold_cold70_access10__oracle__r2 1778094987s
START ycsb_zipf_hotdirs__oracle__r1 2026-05-06T13:16:32-06:00
DONE ycsb_zipf_hotdirs__oracle__r1 1778095015s
START ycsb_zipf_hotdirs__native__r1 2026-05-06T13:17:00-06:00
DONE ycsb_zipf_hotdirs__native__r1 1778095046s
START ior_mdtest_tree__oracle__r0 2026-05-06T13:17:31-06:00
DONE ior_mdtest_tree__oracle__r0 1778095054s
START hotcold_cold70_access10__predictor__r1 2026-05-06T13:17:39-06:00
DONE hotcold_cold70_access10__predictor__r1 1778095076s
START hotcold_cold90_access10__oracle__r0 2026-05-06T13:18:02-06:00
DONE hotcold_cold90_access10__oracle__r0 1778095113s
START filebench_varmail_like__predictor__r1 2026-05-06T13:18:39-06:00
DONE filebench_varmail_like__predictor__r1 1778095161s
START hotcold_cold70_access10__predictor__r0 2026-05-06T13:19:26-06:00
DONE hotcold_cold70_access10__predictor__r0 1778095184s
START hotcold_cold90_access10__oracle__r2 2026-05-06T13:19:49-06:00
