workload_id,workload,variant,runs,mean_ops_per_sec,stdev_ops_per_sec,mean_phase_p95_ms,speedup_vs_native,relative_to_oracle,mean_namespace_entries,mean_promotions,mean_predicted_hot_dirs,failure_runs
filebench_varmail_like,filebench_varmail_like,native,3,69.607734,24.979277,39.862898,1.0,0.062901,1565.0,0.0,0.0,0
filebench_varmail_like,filebench_varmail_like,oracle,3,1106.620076,42.34649,3.435151,15.897947,1.0,69.0,0.0,0.0,0
filebench_varmail_like,filebench_varmail_like,predictor,3,248.963125,46.743811,10.431754,3.576659,0.224976,1454.666667,0.0,64.0,0
hotcold_cold70_access10,oracle_hotcold_mix,native,3,320.574391,85.015329,114.158137,1.0,0.316696,4565.0,0.0,0.0,0
hotcold_cold70_access10,oracle_hotcold_mix,oracle,3,1012.245081,540.908309,55.454933,3.157598,1.0,2409.0,0.0,0.0,0
hotcold_cold70_access10,oracle_hotcold_mix,predictor,3,1506.547919,56.241069,1.869066,4.699527,1.488323,1509.0,0.0,11.666667,0
hotcold_cold90_access10,oracle_hotcold_mix,native,3,334.012099,87.363036,118.916504,1.0,0.299528,4565.0,0.0,0.0,0
hotcold_cold90_access10,oracle_hotcold_mix,oracle,3,1115.126613,420.956724,39.889421,3.338581,1.0,1809.0,0.0,0.0,0
hotcold_cold90_access10,oracle_hotcold_mix,predictor,3,1208.523309,175.743505,33.561219,3.618202,1.083754,1509.0,0.0,11.333333,0
hotcold_cold90_access20,oracle_hotcold_mix,native,3,337.885376,98.46013,144.193123,1.0,0.429149,4565.0,0.0,0.0,0
hotcold_cold90_access20,oracle_hotcold_mix,oracle,3,787.337646,887.130777,331.410236,2.330192,1.0,1809.0,0.0,0.0,0
hotcold_cold90_access20,oracle_hotcold_mix,predictor,3,1053.400189,484.098602,50.53495,3.117626,1.337927,1509.0,0.0,50.666667,0
ior_mdtest_tree,mdtest_tree,native,3,2412.216038,1113.998538,2.527858,1.0,0.188882,3065.0,0.0,0.0,0
ior_mdtest_tree,mdtest_tree,oracle,3,12770.996392,1157.802459,0.752538,5.2943,1.0,69.0,0.0,0.0,0
ior_mdtest_tree,mdtest_tree,predictor,3,12461.662137,1197.055855,0.777399,5.166064,0.975778,69.0,0.0,0.0,0
ycsb_zipf_hotdirs,hotdirs_zipf,native,3,321.594534,46.462469,26.418543,1.0,0.799492,3065.0,0.0,0.0,0
ycsb_zipf_hotdirs,hotdirs_zipf,oracle,3,402.248635,19.915948,4.261466,1.250794,1.0,2485.0,0.0,0.0,0
ycsb_zipf_hotdirs,hotdirs_zipf,predictor,3,14825.189897,995.317505,0.603627,46.099011,36.855787,69.0,0.0,0.0,0
