resume: 14 completed, 40 remaining
[15/54] cold90_access20 native repeat=0 seed=1000
[16/54] cold70_access20 hybrid repeat=1 seed=1001
[17/54] cold90_access10 hybrid repeat=2 seed=1002
[18/54] cold90_access10 native repeat=2 seed=1002
[19/54] cold70_access20 hybrid_layout repeat=0 seed=1000
[20/54] cold90_access10 hybrid_layout repeat=0 seed=1000
[21/54] cold90_access20 native repeat=2 seed=1002
[22/54] cold70_access0 hybrid_layout repeat=2 seed=1002
[23/54] cold90_access20 hybrid_layout repeat=2 seed=1002
[24/54] cold70_access10 hybrid_layout repeat=0 seed=1000
[25/54] cold70_access10 hybrid_layout repeat=2 seed=1002
[26/54] cold90_access0 native repeat=0 seed=1000
[27/54] cold90_access0 hybrid_layout repeat=1 seed=1001
[28/54] cold70_access0 hybrid repeat=1 seed=1001
[29/54] cold90_access0 hybrid repeat=0 seed=1000
[30/54] cold90_access10 hybrid repeat=0 seed=1000
[31/54] cold90_access0 hybrid_layout repeat=0 seed=1000
[32/54] cold90_access20 hybrid repeat=2 seed=1002
[33/54] cold90_access10 native repeat=1 seed=1001
[34/54] cold90_access0 native repeat=1 seed=1001
[35/54] cold70_access20 hybrid repeat=0 seed=1000
[36/54] cold90_access10 native repeat=0 seed=1000
[37/54] cold70_access20 hybrid repeat=2 seed=1002
[38/54] cold90_access20 hybrid_layout repeat=0 seed=1000
[39/54] cold90_access0 hybrid repeat=2 seed=1002
[40/54] cold70_access0 native repeat=0 seed=1000
[41/54] cold90_access10 hybrid_layout repeat=2 seed=1002
[42/54] cold70_access20 native repeat=0 seed=1000
[43/54] cold70_access10 native repeat=2 seed=1002
[44/54] cold70_access10 native repeat=1 seed=1001
[45/54] cold70_access0 hybrid repeat=2 seed=1002
[46/54] cold70_access0 hybrid_layout repeat=1 seed=1001
[47/54] cold70_access0 native repeat=1 seed=1001
[48/54] cold70_access20 hybrid_layout repeat=2 seed=1002
[49/54] cold90_access20 hybrid_layout repeat=1 seed=1001
[50/54] cold90_access20 native repeat=1 seed=1001
[51/54] cold70_access10 hybrid repeat=0 seed=1000
[52/54] cold70_access20 native repeat=1 seed=1001
[53/54] cold70_access0 hybrid repeat=0 seed=1000
[54/54] cold90_access0 hybrid repeat=1 seed=1001
wrote results/cloudlab-hotcold-matrix-20260506-3x/summary.md
