cold_access_fraction,cold_fraction,csv,json,log,repeat,scenario,seed,variant,wall_seconds,measured_ops_per_sec,measured_seconds,elapsed_seconds,physical_namespace_entries_estimate,physical_files_created_estimate,packed_create_fraction,index_flushes,data_flushes,layout_xattrs_attempted,layout_xattrs_applied,layout_xattr_failures
0.0,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access0__native__r2.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access0__native__r2.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access0__native__r2.log,2,cold90_access0,1002,native,89.564003,274.237725,87.515312,88.317471,4565,4500,0.0,,,,,0
0.0,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__hybrid_layout__r0.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__hybrid_layout__r0.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__hybrid_layout__r0.log,0,cold70_access0,1000,hybrid_layout,112.516967,217.270461,110.461403,111.260768,2409,2402,0.466667,10,9,6,6,0
0.1,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__hybrid__r1.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__hybrid__r1.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__hybrid__r1.log,1,cold70_access10,1001,hybrid,101.341564,240.841596,99.650561,100.079963,2409,2402,0.466667,10,9,0,0,0
0.2,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__hybrid_layout__r1.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__hybrid_layout__r1.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__hybrid_layout__r1.log,1,cold70_access20,1001,hybrid_layout,81.621033,302.047058,79.457818,80.360539,2409,2402,0.466667,10,9,6,6,0
0.2,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__hybrid__r1.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__hybrid__r1.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__hybrid__r1.log,1,cold90_access20,1001,hybrid,80.658026,304.49492,78.819049,79.398365,1809,1802,0.6,12,11,0,0,0
0.2,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__native__r2.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__native__r2.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__native__r2.log,2,cold70_access20,1002,native,122.91938,198.743972,120.75838,121.678196,4565,4500,0.0,,,,,0
0.1,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__hybrid__r1.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__hybrid__r1.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__hybrid__r1.log,1,cold90_access10,1001,hybrid,10.44323,3721.508996,6.448997,9.184187,1809,1802,0.6,12,11,0,0,0
0.1,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__hybrid_layout__r1.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__hybrid_layout__r1.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__hybrid_layout__r1.log,1,cold70_access10,1001,hybrid_layout,100.306957,243.555173,98.540301,99.047421,2409,2402,0.466667,10,9,6,6,0
0.0,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__native__r2.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__native__r2.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__native__r2.log,2,cold70_access0,1002,native,69.284713,355.878275,67.438789,68.033246,4565,4500,0.0,,,,,0
0.1,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__hybrid__r2.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__hybrid__r2.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__hybrid__r2.log,2,cold70_access10,1002,hybrid,164.981642,146.746719,163.547098,163.717995,2409,2402,0.466667,10,9,0,0,0
