job_kind	workload_id	workload	variant	repeat	seed	file_count	file_size	dirs	ops	workers	depth	branching	ycsb_distribution	ycsb_hot_fraction	ycsb_update_fraction	ycsb_hot_op_fraction	ycsb_zipf_alpha	runtime
external_ior	direct_ior	ior	external	1	9101	0	4096	0	512	8	0	0	none	0	0	0	0	0
inrepo	recreated_filebench_varmail_like	filebench_varmail_like	native	1	9101	3000	4096	64	9000	8	2	8	zipfian	0.20	0.20	0.80	0.99	0
inrepo	ycsb_zipfian_file_skew	ycsb_file_skew	native	3	9103	3000	4096	64	9000	8	2	8	zipfian	0.20	0.20	0.80	0.99	0
inrepo	predictor_false_hot_churn	predictor_false_hot_churn	predictor_nolearn	2	9102	3000	4096	64	9000	8	2	8	zipfian	0.20	0.20	0.80	0.99	0
inrepo	recreated_mdtest_tree	mdtest_tree	native	3	9103	3000	1024	64	6000	8	3	8	zipfian	0.20	0.20	0.80	0.99	0
inrepo	ycsb_hotspot_file_skew	ycsb_file_skew	predictor_nolearn	2	9102	3000	4096	64	9000	8	2	8	hotspot	0.20	0.20	0.80	0.99	0
external_mdtest	direct_mdtest_10k	mdtest_10k	external	2	9102	10000	1024	64	0	8	3	8	none	0	0	0	0	0
inrepo	predictor_false_hot_churn	predictor_false_hot_churn	oracle	3	9103	3000	4096	64	9000	8	2	8	zipfian	0.20	0.20	0.80	0.99	0
external_ior	direct_ior	ior	external	2	9102	0	4096	0	512	8	0	0	none	0	0	0	0	0
inrepo	ycsb_zipfian_file_skew	ycsb_file_skew	oracle	4	9104	3000	4096	64	9000	8	2	8	zipfian	0.20	0.20	0.80	0.99	0
inrepo	recreated_mdtest_tree	mdtest_tree	predictor_nolearn	1	9101	3000	1024	64	6000	8	3	8	zipfian	0.20	0.20	0.80	0.99	0
inrepo	ycsb_zipfian_file_skew	ycsb_file_skew	predictor_nolearn	3	9103	3000	4096	64	9000	8	2	8	zipfian	0.20	0.20	0.80	0.99	0
inrepo	hotcold_cold90_access10	oracle_hotcold_mix	predictor_nolearn	0	9100	3000	4096	64	12000	8	2	8	zipfian	0.20	0.20	0.80	0.99	0
inrepo	ycsb_hotspot_file_skew	ycsb_file_skew	predictor_nolearn	1	9101	3000	4096	64	9000	8	2	8	hotspot	0.20	0.20	0.80	0.99	0
inrepo	recreated_filebench_varmail_like	filebench_varmail_like	predictor	3	9103	3000	4096	64	9000	8	2	8	zipfian	0.20	0.20	0.80	0.99	0
inrepo	ycsb_zipfian_file_skew	ycsb_file_skew	predictor	2	9102	3000	4096	64	9000	8	2	8	zipfian	0.20	0.20	0.80	0.99	0
inrepo	predictor_false_hot_churn	predictor_false_hot_churn	oracle	1	9101	3000	4096	64	9000	8	2	8	zipfian	0.20	0.20	0.80	0.99	0
inrepo	hotcold_cold90_access10	oracle_hotcold_mix	predictor	3	9103	3000	4096	64	12000	8	2	8	zipfian	0.20	0.20	0.80	0.99	0
inrepo	hotcold_cold90_access10	oracle_hotcold_mix	native	1	9101	3000	4096	64	12000	8	2	8	zipfian	0.20	0.20	0.80	0.99	0
inrepo	predictor_false_hot_churn	predictor_false_hot_churn	predictor_nolearn	1	9101	3000	4096	64	9000	8	2	8	zipfian	0.20	0.20	0.80	0.99	0
external_filebench	direct_filebench_fileserver	filebench_fileserver	external	0	9100	3000	4096	64	0	8	0	0	none	0	0	0	0	60
external_mdtest	direct_mdtest_10k	mdtest_10k	external	4	9104	10000	1024	64	0	8	3	8	none	0	0	0	0	0
inrepo	predictor_false_hot_churn	predictor_false_hot_churn	predictor_nolearn	4	9104	3000	4096	64	9000	8	2	8	zipfian	0.20	0.20	0.80	0.99	0
inrepo	predictor_false_hot_churn	predictor_false_hot_churn	predictor	4	9104	3000	4096	64	9000	8	2	8	zipfian	0.20	0.20	0.80	0.99	0
