result_kind,workload_id,workload,variant,repeat,seed,json,csv,log,measured_ops_per_sec,measured_seconds,elapsed_seconds,run_mean_p95_ms,predicted_hot_dirs,predicted_eval_hot_dirs,predicted_eval_cold_dirs,predicted_hot_dir_precision,total_promotions,promoted_hot,promoted_cold,layout_failures
external,direct_filebench_fileserver,filebench_fileserver,external,0,9100,results/cloudlab-paperready-20260506-3x/direct_filebench_fileserver__external__r0.external.json,,results/cloudlab-paperready-20260506-3x/direct_filebench_fileserver__external__r0.log,465.968,79.34783,79.34783,,,,,,,,,
external,direct_filebench_fileserver,filebench_fileserver,external,1,9101,results/cloudlab-paperready-20260506-3x/direct_filebench_fileserver__external__r1.external.json,,results/cloudlab-paperready-20260506-3x/direct_filebench_fileserver__external__r1.log,412.273,72.827272,72.827272,,,,,,,,,
external,direct_filebench_fileserver,filebench_fileserver,external,2,9102,results/cloudlab-paperready-20260506-3x/direct_filebench_fileserver__external__r2.external.json,,results/cloudlab-paperready-20260506-3x/direct_filebench_fileserver__external__r2.log,510.165,84.856555,84.856555,,,,,,,,,
external,direct_filebench_fileserver,filebench_fileserver,external,3,9103,results/cloudlab-paperready-20260506-3x/direct_filebench_fileserver__external__r3.external.json,,results/cloudlab-paperready-20260506-3x/direct_filebench_fileserver__external__r3.log,385.69,76.786962,76.786962,,,,,,,,,
external,direct_filebench_fileserver,filebench_fileserver,external,4,9104,results/cloudlab-paperready-20260506-3x/direct_filebench_fileserver__external__r4.external.json,,results/cloudlab-paperready-20260506-3x/direct_filebench_fileserver__external__r4.log,518.781,83.592396,83.592396,,,,,,,,,
external,direct_filebench_varmail,filebench_varmail,external,0,9100,results/cloudlab-paperready-20260506-3x/direct_filebench_varmail__external__r0.external.json,,results/cloudlab-paperready-20260506-3x/direct_filebench_varmail__external__r0.log,358.126,72.727632,72.727632,,,,,,,,,
external,direct_filebench_varmail,filebench_varmail,external,1,9101,results/cloudlab-paperready-20260506-3x/direct_filebench_varmail__external__r1.external.json,,results/cloudlab-paperready-20260506-3x/direct_filebench_varmail__external__r1.log,378.175,77.947647,77.947647,,,,,,,,,
external,direct_filebench_varmail,filebench_varmail,external,2,9102,results/cloudlab-paperready-20260506-3x/direct_filebench_varmail__external__r2.external.json,,results/cloudlab-paperready-20260506-3x/direct_filebench_varmail__external__r2.log,300.697,75.825788,75.825788,,,,,,,,,
external,direct_filebench_varmail,filebench_varmail,external,3,9103,results/cloudlab-paperready-20260506-3x/direct_filebench_varmail__external__r3.external.json,,results/cloudlab-paperready-20260506-3x/direct_filebench_varmail__external__r3.log,314.929,75.486048,75.486048,,,,,,,,,
external,direct_filebench_varmail,filebench_varmail,external,4,9104,results/cloudlab-paperready-20260506-3x/direct_filebench_varmail__external__r4.external.json,,results/cloudlab-paperready-20260506-3x/direct_filebench_varmail__external__r4.log,367.592,74.921847,74.921847,,,,,,,,,
external,direct_ior_512m,ior_512m,external,0,9100,results/cloudlab-paperready-20260506-3x/direct_ior_512m__external__r0.external.json,,results/cloudlab-paperready-20260506-3x/direct_ior_512m__external__r0.log,22745.89,17.978866,17.978866,,,,,,,,,
external,direct_ior_512m,ior_512m,external,1,9101,results/cloudlab-paperready-20260506-3x/direct_ior_512m__external__r1.external.json,,results/cloudlab-paperready-20260506-3x/direct_ior_512m__external__r1.log,23655.195,17.68337,17.68337,,,,,,,,,
external,direct_ior_512m,ior_512m,external,2,9102,results/cloudlab-paperready-20260506-3x/direct_ior_512m__external__r2.external.json,,results/cloudlab-paperready-20260506-3x/direct_ior_512m__external__r2.log,23969.765,17.568712,17.568712,,,,,,,,,
external,direct_ior_512m,ior_512m,external,3,9103,results/cloudlab-paperready-20260506-3x/direct_ior_512m__external__r3.external.json,,results/cloudlab-paperready-20260506-3x/direct_ior_512m__external__r3.log,23807.855,15.667567,15.667567,,,,,,,,,
external,direct_ior_512m,ior_512m,external,4,9104,results/cloudlab-paperready-20260506-3x/direct_ior_512m__external__r4.external.json,,results/cloudlab-paperready-20260506-3x/direct_ior_512m__external__r4.log,22767.935,16.287473,16.287473,,,,,,,,,
external,direct_ior,ior,external,0,9100,results/cloudlab-paperready-20260506-3x/direct_ior__external__r0.external.json,,results/cloudlab-paperready-20260506-3x/direct_ior__external__r0.log,28756.89,2.186831,2.186831,,,,,,,,,
external,direct_ior,ior,external,1,9101,results/cloudlab-paperready-20260506-3x/direct_ior__external__r1.external.json,,results/cloudlab-paperready-20260506-3x/direct_ior__external__r1.log,28777.745,2.296224,2.296224,,,,,,,,,
