result_kind,workload_id,workload,variant,runs,mean_ops_per_sec,stdev_ops_per_sec,mean_phase_p95_ms,speedup_vs_native,relative_to_oracle,mean_predicted_hot_dirs,mean_predicted_eval_hot_dirs,mean_predicted_eval_cold_dirs,mean_predicted_hot_dir_precision
external,direct_filebench_fileserver,filebench_fileserver,external,5,458.5754,58.730413,,,,,,,
external,direct_filebench_varmail,filebench_varmail,external,5,343.9038,34.07449,,,,,,,
external,direct_ior,ior,external,5,29284.529,1215.171898,,,,,,,
external,direct_ior_512m,ior_512m,external,5,23389.328,587.983619,,,,,,,
external,direct_mdtest,mdtest,external,5,2252.485333,180.697893,,,,,,,
external,direct_mdtest_10k,mdtest_10k,external,5,2046.263833,80.515484,,,,,,,
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,native,5,490.493273,256.326041,81.745375,1.0,0.446633,,,,
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,oracle,5,1098.202899,514.670501,61.534467,2.238976,1.0,,,,
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,predictor,5,1316.190309,210.802057,7.425978,2.683401,1.198495,13.6,4.0,9.6,0.304664
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,predictor_nolearn,5,10066.890519,595.352281,0.693321,20.524013,9.166695,0.0,0.0,0.0,0.0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,native,5,140.339425,15.62891,109.947341,1.0,0.003841,,,,
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,oracle,5,36537.804294,4069.378978,0.790776,260.3531,1.0,,,,
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,predictor,5,188.957207,5.260444,96.825364,1.34643,0.005172,60.0,0.0,60.0,0.0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,predictor_nolearn,5,29632.479454,1765.303804,0.910546,211.148645,0.811009,0.0,0.0,0.0,0.0
inrepo,recreated_filebench_varmail_like,filebench_varmail_like,native,5,89.827704,8.558152,19.04863,1.0,0.09038,,,,
inrepo,recreated_filebench_varmail_like,filebench_varmail_like,oracle,5,993.894573,51.787864,3.476338,11.064455,1.0,,,,
inrepo,recreated_filebench_varmail_like,filebench_varmail_like,predictor,5,289.654343,135.100136,9.672781,3.224555,0.291434,64.0,0.0,64.0,0.0
inrepo,recreated_filebench_varmail_like,filebench_varmail_like,predictor_nolearn,5,985.690832,25.245081,3.484392,10.973127,0.991746,0.0,0.0,0.0,0.0
inrepo,recreated_mdtest_tree,mdtest_tree,native,5,446.08021,15.570486,4.795969,1.0,0.038438,,,,
inrepo,recreated_mdtest_tree,mdtest_tree,oracle,5,11605.163712,584.800485,0.8156,26.015868,1.0,,,,
inrepo,recreated_mdtest_tree,mdtest_tree,predictor,5,11121.331876,398.101694,0.849306,24.931238,0.958309,0.0,0.0,0.0,0.0
inrepo,recreated_mdtest_tree,mdtest_tree,predictor_nolearn,5,11225.393337,276.139525,0.846017,25.164518,0.967276,0.0,0.0,0.0,0.0
inrepo,scaled_hotcold_cold90_access10_20k,oracle_hotcold_mix,native,3,334.599497,21.318929,152.164224,1.0,0.53416,,,,
inrepo,scaled_hotcold_cold90_access10_20k,oracle_hotcold_mix,oracle,3,626.402831,36.017487,108.050086,1.872097,1.0,,,,
inrepo,scaled_hotcold_cold90_access10_20k,oracle_hotcold_mix,predictor,3,791.915262,113.532653,100.69443,2.366756,1.264227,127.333333,4.0,123.333333,0.031414
inrepo,scaled_hotcold_cold90_access10_20k,oracle_hotcold_mix,predictor_nolearn,3,8389.1503,292.440979,0.83277,25.072214,13.39258,0.0,0.0,0.0,0.0
inrepo,ycsb_hotspot_file_skew,ycsb_file_skew,native,5,236.497369,21.866274,120.432671,1.0,0.43424,,,,
inrepo,ycsb_hotspot_file_skew,ycsb_file_skew,oracle,5,544.623115,130.601884,69.60903,2.302872,1.0,,,,
inrepo,ycsb_hotspot_file_skew,ycsb_file_skew,predictor,5,566.635795,90.915296,80.589792,2.39595,1.040418,64.0,4.0,60.0,0.0625
inrepo,ycsb_hotspot_file_skew,ycsb_file_skew,predictor_nolearn,5,7572.315908,422.518118,0.756435,32.018605,13.903773,0.0,0.0,0.0,0.0
inrepo,ycsb_zipfian_file_skew,ycsb_file_skew,native,5,223.631686,38.926136,145.290586,1.0,0.498832,,,,
inrepo,ycsb_zipfian_file_skew,ycsb_file_skew,oracle,5,448.310677,99.526326,111.693368,2.004683,1.0,,,,
inrepo,ycsb_zipfian_file_skew,ycsb_file_skew,predictor,5,414.497062,45.505121,124.859471,1.853481,0.924575,64.0,4.0,60.0,0.0625
inrepo,ycsb_zipfian_file_skew,ycsb_file_skew,predictor_nolearn,5,7923.45359,209.47154,0.720558,35.430818,17.674024,0.0,0.0,0.0,0.0
