scenario,cold_fraction,cold_access_fraction,variant,repeat,seed,json,csv,log,wall_seconds,measured_ops_per_sec,measured_seconds,namespace_entries,total_promotions,promoted_hot,promoted_cold,promotion_failures,layout_failures
cold90_access10,0.9,0.1,pred_statread2,1,2001,results/cloudlab-predictor-profile-20260506/cold90_access10__pred_statread2__r1.json,results/cloudlab-predictor-profile-20260506/cold90_access10__pred_statread2__r1.csv,results/cloudlab-predictor-profile-20260506/cold90_access10__pred_statread2__r1.log,7.161766,5372.294777,4.467365,658,592,309,283,0,0
cold90_access10,0.9,0.1,pred_statread4,1,2001,results/cloudlab-predictor-profile-20260506/cold90_access10__pred_statread4__r1.json,results/cloudlab-predictor-profile-20260506/cold90_access10__pred_statread4__r1.csv,results/cloudlab-predictor-profile-20260506/cold90_access10__pred_statread4__r1.log,6.67287,5287.003461,4.539433,326,313,309,4,0,0
cold90_access20,0.9,0.2,pred_read1,0,2000,results/cloudlab-predictor-profile-20260506/cold90_access20__pred_read1__r0.json,results/cloudlab-predictor-profile-20260506/cold90_access20__pred_read1__r0.csv,results/cloudlab-predictor-profile-20260506/cold90_access20__pred_read1__r0.log,10.101886,8786.512703,2.731459,930,861,303,558,0,0
cold70_access20,0.7,0.2,pred_statread4,0,2000,results/cloudlab-predictor-profile-20260506/cold70_access20__pred_statread4__r0.json,results/cloudlab-predictor-profile-20260506/cold70_access20__pred_statread4__r0.csv,results/cloudlab-predictor-profile-20260506/cold70_access20__pred_statread4__r0.log,9.732299,3072.834796,7.810378,1075,1014,910,104,0,0
cold90_access10,0.9,0.1,pred_read1,0,2000,results/cloudlab-predictor-profile-20260506/cold90_access10__pred_read1__r0.json,results/cloudlab-predictor-profile-20260506/cold90_access10__pred_read1__r0.csv,results/cloudlab-predictor-profile-20260506/cold90_access10__pred_read1__r0.log,6.560185,5782.152934,4.150703,661,593,306,287,0,0
cold90_access10,0.9,0.1,oracle,0,2000,results/cloudlab-predictor-profile-20260506/cold90_access10__oracle__r0.json,results/cloudlab-predictor-profile-20260506/cold90_access10__oracle__r0.csv,results/cloudlab-predictor-profile-20260506/cold90_access10__oracle__r0.log,48.84833,507.546356,47.286321,1809,0,0,0,0,0
cold70_access20,0.7,0.2,pred_statread2,1,2001,results/cloudlab-predictor-profile-20260506/cold70_access20__pred_statread2__r1.json,results/cloudlab-predictor-profile-20260506/cold70_access20__pred_statread2__r1.csv,results/cloudlab-predictor-profile-20260506/cold70_access20__pred_statread2__r1.log,13.520516,2356.262606,10.185622,1860,1791,910,881,0,0
cold70_access20,0.7,0.2,pred_read1,0,2000,results/cloudlab-predictor-profile-20260506/cold70_access20__pred_read1__r0.json,results/cloudlab-predictor-profile-20260506/cold70_access20__pred_read1__r0.csv,results/cloudlab-predictor-profile-20260506/cold70_access20__pred_read1__r0.log,17.317071,1540.237818,15.582009,1444,1375,846,529,0,0
cold90_access20,0.9,0.2,oracle,1,2001,results/cloudlab-predictor-profile-20260506/cold90_access20__oracle__r1.json,results/cloudlab-predictor-profile-20260506/cold90_access20__oracle__r1.csv,results/cloudlab-predictor-profile-20260506/cold90_access20__oracle__r1.log,35.485972,705.901939,33.999057,1809,0,0,0,0,0
cold70_access20,0.7,0.2,oracle,1,2001,results/cloudlab-predictor-profile-20260506/cold70_access20__oracle__r1.json,results/cloudlab-predictor-profile-20260506/cold70_access20__oracle__r1.csv,results/cloudlab-predictor-profile-20260506/cold70_access20__oracle__r1.log,94.353436,258.408791,92.876097,2409,0,0,0,0,0
