label,transport,clients,metadata,pid,started_at,ended_at,duration_s,samples,avg_process_cpu_percent,max_process_cpu_percent,avg_host_cpu_percent,max_host_cpu_percent,trial,trial_count,duration_s_stddev,samples_stddev,avg_process_cpu_percent_stddev,max_process_cpu_percent_stddev,avg_host_cpu_percent_stddev,max_host_cpu_percent_stddev
One-Sided RDMA,one_sided_rdma,1,0,23276,2026-05-03T21:01:20+00:00,2026-05-03T21:01:20+00:00,0.711,4,0.554333,1.66267,1.73,6.77667,trial_1,3,0.211014,1,0.960133,2.87982,2.93948,11.4529
One-Sided RDMA,one_sided_rdma,2,0,23276,2026-05-03T21:01:21+00:00,2026-05-03T21:01:21+00:00,0.428333,2.33333,0.831333,1.66267,0.0416667,0.083,trial_1,3,0.139317,0.57735,1.43991,2.87982,0.0721688,0.14376
One-Sided RDMA,one_sided_rdma,4,0,23276,2026-05-03T21:01:21+00:00,2026-05-03T21:01:21+00:00,0.217667,2,0.833333,1.66667,0.0833333,0.166333,trial_1,3,0.0023094,0,1.44338,2.88675,0.0721688,0.14405
One-Sided RDMA,one_sided_rdma,8,0,23276,2026-05-03T21:01:21+00:00,2026-05-03T21:01:21+00:00,0.153667,1,13.156,13.156,0.434,0.434,trial_1,3,0.00602771,0,0.499483,0.499483,0.170666,0.170666
One-Sided RDMA + Metadata,one_sided_rdma_metadata,1,1,23276,2026-05-03T21:01:21+00:00,2026-05-03T21:01:22+00:00,1.05467,5.66667,0,0,0.064,0.166,trial_1,3,0.197971,1.1547,0,0,0.0720278,0.14376
One-Sided RDMA + Metadata,one_sided_rdma_metadata,2,1,23276,2026-05-03T21:01:22+00:00,2026-05-03T21:01:23+00:00,0.527,3,1.11,3.32933,0.128,0.384,trial_1,3,0.0034641,0,0.96129,2.88329,0.0419404,0.125821
One-Sided RDMA + Metadata,one_sided_rdma_metadata,4,1,23276,2026-05-03T21:01:23+00:00,2026-05-03T21:01:23+00:00,0.303,2,1.66667,3.33367,0.206333,0.412333,trial_1,3,0.002,0,1.44339,2.88707,0.0704651,0.141507
One-Sided RDMA + Metadata,one_sided_rdma_metadata,8,1,23276,2026-05-03T21:01:23+00:00,2026-05-03T21:01:24+00:00,0.197,1,8.482,8.482,0.594667,0.594667,trial_1,3,0.00173205,0,2.89385,2.89385,0.147582,0.147582
TCP,tcp,1,0,23162,2026-05-03T20:58:41+00:00,2026-05-03T20:58:53+00:00,11.3647,57,16.8403,26.7633,1.05667,2.066,trial_1,3,0.585351,2.64575,0.760491,2.99979,0.135652,0.140296
TCP,tcp,2,0,23162,2026-05-03T20:58:53+00:00,2026-05-03T20:58:59+00:00,5.52167,28,30.908,38.5217,2.165,3.39433,trial_1,3,0.338928,1.73205,2.11995,2.82167,0.285795,0.14585
TCP,tcp,4,0,23162,2026-05-03T20:58:59+00:00,2026-05-03T20:59:02+00:00,3.262,16.6667,53.629,67.1203,3.795,5.214,trial_1,3,0.0720278,0.57735,2.79934,3.10614,0.279934,0.639573
TCP,tcp,8,0,23162,2026-05-03T20:59:02+00:00,2026-05-03T20:59:04+00:00,1.47133,8,60.714,75.377,5.08033,6.72133,trial_1,3,0.0285715,0,1.37164,0,0.0318957,0.215737
Two-Sided RDMA,two_sided_rdma,1,0,23193,2026-05-03T21:00:44+00:00,2026-05-03T21:00:45+00:00,0.969333,5.66667,78.6,99.917,3.925,5.14967,trial_1,3,0.250943,1.1547,3.95495,0.14376,0.231234,0.140158
Two-Sided RDMA,two_sided_rdma,2,0,23193,2026-05-03T21:00:45+00:00,2026-05-03T21:00:46+00:00,0.972333,5.33333,150.563,199.834,7.496,10.141,trial_1,3,0.147514,1.1547,21.1483,0.288098,1.13016,0.14376
Two-Sided RDMA,two_sided_rdma,4,0,23193,2026-05-03T21:00:46+00:00,2026-05-03T21:00:47+00:00,0.514,3,273.653,399.002,13.4927,20.1167,trial_1,3,0.0351568,0,11.7311,0,0.694946,0.144338
Two-Sided RDMA,two_sided_rdma,8,0,23193,2026-05-03T21:00:47+00:00,2026-05-03T21:00:47+00:00,0.325667,2,479.233,583.891,23.513,29.332,trial_1,3,0.0406735,0,75.94,55.483,3.84096,3.20285
