host,port,clients,operations,keys,value_size,get_ratio,zipf_s,warmup,prefill,elapsed_seconds,throughput_rps,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,measured_ok_responses,measured_errors,warmup_ok_responses,warmup_errors,trial,label,trial_count,elapsed_seconds_stddev,throughput_rps_stddev,mean_latency_us_stddev,p50_latency_us_stddev,p95_latency_us_stddev,p99_latency_us_stddev,measured_ok_responses_stddev,measured_errors_stddev,warmup_ok_responses_stddev,warmup_errors_stddev
10.10.1.1,9091,1,100000,1024,0,1,0,5000,1,0.661879,160536,4.75736,4,8,12,100000,0,5000,0,trial_1,One-Sided RDMA,3,0.213987,43874.2,0.00602202,0,0,0,0,0,0,0
10.10.1.1,9091,2,100000,1024,0,1,0,5000,1,0.378975,285940,4.79239,4,8,12,100000,0,5000,0,trial_1,One-Sided RDMA,3,0.142212,88229.8,0.0145328,0,0,0,0,0,0,0
10.10.1.1,9091,4,100000,1024,0,1,0,5000,1,0.164578,607632,4.7904,4,8,12,100000,0,5000,0,trial_1,One-Sided RDMA,3,0.00105518,3883.3,0.00911198,0,0,0,0,0,0,0
10.10.1.1,9091,8,100000,1024,0,1,0,5000,1,0.102658,974307,4.81526,4,8,12,100000,0,5000,0,trial_1,One-Sided RDMA,3,0.0017838,17073.7,0.00498093,0,0,0,0,0,0,0
10.10.1.1,9091,1,100000,1024,0,1,0,5000,1,1.00287,102185,7.7721,7,11,15,100000,0,5000,0,trial_1,One-Sided RDMA + Metadata,3,0.201664,18437.5,0.0010843,0,0,0,0,0,0,0
10.10.1.1,9091,2,100000,1024,0,1,0,5000,1,0.477569,209394,7.8613,7,11,15.6667,100000,0,5000,0,trial_1,One-Sided RDMA + Metadata,3,0.0010367,455.379,0.00417546,0,0,0.57735,0,0,0,0
10.10.1.1,9091,4,100000,1024,0,1,0,5000,1,0.255777,390970,7.92192,7,11,16,100000,0,5000,0,trial_1,One-Sided RDMA + Metadata,3,0.00106149,1619.61,0.0219121,0,0,0,0,0,0,0
10.10.1.1,9091,8,100000,1024,0,1,0,5000,1,0.148568,673162,8.04477,7,12,16,100000,0,5000,0,trial_1,One-Sided RDMA + Metadata,3,0.0018535,8455.66,0.0139,0,0,0,0,0,0,0
10.10.1.1,9090,1,100000,1024,64,0.95,0.8,5000,1,11.2657,8892.65,106.433,107.333,116.667,153.333,100000,0,5000,0,trial_1,TCP,3,0.580575,470.563,5.6887,7.37111,2.3094,10.9697,0,0,0,0
10.10.1.1,9090,2,100000,1024,64,0.95,0.8,5000,1,5.42209,18488.9,100.25,102.333,115.667,131.667,100000,0,5000,0,trial_1,TCP,3,0.336654,1108.42,7.96369,7.57188,3.51188,1.1547,0,0,0,0
10.10.1.1,9090,4,100000,1024,64,0.95,0.8,5000,1,3.15579,31698.9,110.858,111.667,133.333,163.667,100000,0,5000,0,trial_1,TCP,3,0.071772,726.903,1.5067,1.1547,1.52753,25.482,0,0,0,0
10.10.1.1,9090,8,100000,1024,64,0.95,0.8,5000,1,1.37168,72920,95.3487,92.6667,129,156.667,100000,0,5000,0,trial_1,TCP,3,0.0254493,1349.41,0.921094,1.52753,3.60555,6.50641,0,0,0,0
10.10.1.1,9091,1,100000,1024,64,0.95,0.8,5000,1,0.8878,117314,6.23083,5,5.33333,6,100000,0,5000,0,trial_1,Two-Sided RDMA,3,0.232956,26733.9,0.246026,0,0.57735,0,0,0,0,0
10.10.1.1,9091,2,100000,1024,64,0.95,0.8,5000,1,0.88757,115139,11.2164,5,6,6,100000,0,5000,0,trial_1,Two-Sided RDMA,3,0.15139,21742.5,0.974412,0,0,0,0,0,0,0
10.10.1.1,9091,4,100000,1024,64,0.95,0.8,5000,1,0.42972,233892,13.6513,5,6,7,100000,0,5000,0,trial_1,Two-Sided RDMA,3,0.0365059,20884.8,0.959284,0,0,0,0,0,0,0
10.10.1.1,9091,8,100000,1024,64,0.95,0.8,5000,1,0.250315,403846,15.1644,6,6.33333,8,100000,0,5000,0,trial_1,Two-Sided RDMA,3,0.0307779,53089.2,2.81889,0,0.57735,0,0,0,0,0
