label,transport,clients,metadata,pid,started_at,ended_at,duration_s,samples,avg_process_cpu_percent,max_process_cpu_percent,avg_host_cpu_percent,max_host_cpu_percent
TCP,tcp,1,0,23162,2026-05-03T20:59:04+00:00,2026-05-03T20:59:16+00:00,11.799,59,16.504,30.227,1.016,1.985
TCP,tcp,2,0,23162,2026-05-03T20:59:16+00:00,2026-05-03T20:59:21+00:00,5.322,27,33.334,40.100,2.443,3.474
TCP,tcp,4,0,23162,2026-05-03T20:59:21+00:00,2026-05-03T20:59:24+00:00,3.184,16,54.050,65.327,3.741,4.963
TCP,tcp,8,0,23162,2026-05-03T20:59:24+00:00,2026-05-03T20:59:26+00:00,1.444,8,59.416,75.377,5.065,6.733
Two-Sided RDMA,two_sided_rdma,1,0,23193,2026-05-03T21:00:47+00:00,2026-05-03T21:00:48+00:00,0.818,5,75.860,100.000,3.793,5.237
Two-Sided RDMA,two_sided_rdma,2,0,23193,2026-05-03T21:00:48+00:00,2026-05-03T21:00:49+00:00,1.057,6,141.281,200.000,6.907,10.224
Two-Sided RDMA,two_sided_rdma,4,0,23193,2026-05-03T21:00:49+00:00,2026-05-03T21:00:50+00:00,0.540,3,283.099,399.002,14.034,20.200
Two-Sided RDMA,two_sided_rdma,8,0,23193,2026-05-03T21:00:50+00:00,2026-05-03T21:00:50+00:00,0.283,2,392.215,601.504,19.126,30.326
One-Sided RDMA,one_sided_rdma,1,0,23276,2026-05-03T21:01:24+00:00,2026-05-03T21:01:24+00:00,0.574,3,1.663,4.988,0.000,0.000
One-Sided RDMA,one_sided_rdma,2,0,23276,2026-05-03T21:01:24+00:00,2026-05-03T21:01:25+00:00,0.589,3,0.000,0.000,0.000,0.000
One-Sided RDMA,one_sided_rdma,4,0,23276,2026-05-03T21:01:25+00:00,2026-05-03T21:01:25+00:00,0.219,2,2.500,5.000,0.125,0.250
One-Sided RDMA,one_sided_rdma,8,0,23276,2026-05-03T21:01:25+00:00,2026-05-03T21:01:25+00:00,0.160,1,12.618,12.618,0.631,0.631
One-Sided RDMA + Metadata,one_sided_rdma_metadata,1,1,23276,2026-05-03T21:01:25+00:00,2026-05-03T21:01:26+00:00,0.950,5,0.000,0.000,0.000,0.000
One-Sided RDMA + Metadata,one_sided_rdma_metadata,2,1,23276,2026-05-03T21:01:26+00:00,2026-05-03T21:01:27+00:00,0.531,3,1.663,4.988,0.083,0.249
One-Sided RDMA + Metadata,one_sided_rdma_metadata,4,1,23276,2026-05-03T21:01:27+00:00,2026-05-03T21:01:27+00:00,0.301,2,0.000,0.000,0.249,0.498
One-Sided RDMA + Metadata,one_sided_rdma_metadata,8,1,23276,2026-05-03T21:01:27+00:00,2026-05-03T21:01:28+00:00,0.199,1,10.101,10.101,0.505,0.505
