label,transport,clients,metadata,operations,netdev,rx_bytes_before,tx_bytes_before,rx_bytes_after,tx_bytes_after,rx_bytes_delta,tx_bytes_delta,total_bytes_delta,rx_bytes_per_operation,tx_bytes_per_operation,total_bytes_per_operation
TCP,tcp,1,0,100000,ens1f1np1,266966823,407307830,276174144,421408966,9207321,14101136,23308457,92.073,141.011,233.085
TCP,tcp,2,0,100000,ens1f1np1,276174700,421410088,285386909,435506670,9212209,14096582,23308791,92.122,140.966,233.088
TCP,tcp,4,0,100000,ens1f1np1,285387465,435507791,294603145,449601861,9215680,14094070,23309750,92.157,140.941,233.097
TCP,tcp,8,0,100000,ens1f1np1,294603701,449602982,303813713,463705220,9210012,14102238,23312250,92.100,141.022,233.123
Two-Sided RDMA,two_sided_rdma,1,0,100000,ens1f1np1,340674608,520117361,340675991,520118380,1383,1019,2402,0.014,0.010,0.024
Two-Sided RDMA,two_sided_rdma,2,0,100000,ens1f1np1,340676580,520119540,340678415,520120945,1835,1405,3240,0.018,0.014,0.032
Two-Sided RDMA,two_sided_rdma,4,0,100000,ens1f1np1,340679004,520122107,340681743,520124218,2739,2111,4850,0.027,0.021,0.049
Two-Sided RDMA,two_sided_rdma,8,0,100000,ens1f1np1,340682332,520125381,340686879,520128904,4547,3523,8070,0.045,0.035,0.081
One-Sided RDMA,one_sided_rdma,1,0,100000,ens1f1np1,340722584,520165023,340723515,520165722,931,699,1630,0.009,0.007,0.016
One-Sided RDMA,one_sided_rdma,2,0,100000,ens1f1np1,340724104,520166877,340725487,520167896,1383,1019,2402,0.014,0.010,0.024
One-Sided RDMA,one_sided_rdma,4,0,100000,ens1f1np1,340726076,520169053,340728363,520170844,2287,1791,4078,0.023,0.018,0.041
One-Sided RDMA,one_sided_rdma,8,0,100000,ens1f1np1,340728952,520172001,340733047,520175138,4095,3137,7232,0.041,0.031,0.072
One-Sided RDMA + Metadata,one_sided_rdma_metadata,1,1,100000,ens1f1np1,340733665,520176297,340734605,520177071,940,774,1714,0.009,0.008,0.017
One-Sided RDMA + Metadata,one_sided_rdma_metadata,2,1,100000,ens1f1np1,340735223,520178275,340736615,520179303,1392,1028,2420,0.014,0.010,0.024
One-Sided RDMA + Metadata,one_sided_rdma_metadata,4,1,100000,ens1f1np1,340737233,520180509,340739529,520182243,2296,1734,4030,0.023,0.017,0.040
One-Sided RDMA + Metadata,one_sided_rdma_metadata,8,1,100000,ens1f1np1,340740147,520183449,340744251,520186595,4104,3146,7250,0.041,0.031,0.072
