mode,scenario,workload,elapsed_sec,window_availability
leader-lamport,baseline,read_heavy,0.209,1.0000
leader-lamport,baseline,read_heavy,0.411,1.0000
leader-lamport,baseline,read_heavy,0.612,1.0000
leader-lamport,baseline,read_heavy,0.644,1.0000
leader-lamport,baseline,write_heavy,0.200,1.0000
leader-lamport,baseline,write_heavy,0.225,1.0000
leader-lamport,baseline,mixed,0.207,1.0000
leader-lamport,baseline,mixed,0.408,1.0000
leader-lamport,baseline,mixed,0.609,1.0000
leader-lamport,baseline,mixed,0.713,1.0000
leader-lamport,slow_follower_120ms,read_heavy,0.256,1.0000
leader-lamport,slow_follower_120ms,read_heavy,0.507,1.0000
leader-lamport,slow_follower_120ms,read_heavy,0.772,1.0000
leader-lamport,slow_follower_120ms,read_heavy,1.024,1.0000
leader-lamport,slow_follower_120ms,read_heavy,1.287,1.0000
leader-lamport,slow_follower_120ms,read_heavy,1.539,1.0000
leader-lamport,slow_follower_120ms,read_heavy,1.788,1.0000
leader-lamport,slow_follower_120ms,read_heavy,2.050,1.0000
leader-lamport,slow_follower_120ms,read_heavy,2.305,1.0000
leader-lamport,slow_follower_120ms,read_heavy,2.562,1.0000
leader-lamport,slow_follower_120ms,read_heavy,2.815,1.0000
leader-lamport,slow_follower_120ms,read_heavy,3.083,1.0000
leader-lamport,slow_follower_120ms,read_heavy,3.340,1.0000
leader-lamport,slow_follower_120ms,read_heavy,3.622,1.0000
leader-lamport,slow_follower_120ms,read_heavy,3.874,1.0000
leader-lamport,slow_follower_120ms,read_heavy,3.875,1.0000
leader-lamport,slow_follower_120ms,write_heavy,0.255,1.0000
leader-lamport,slow_follower_120ms,write_heavy,0.505,1.0000
leader-lamport,slow_follower_120ms,write_heavy,0.755,1.0000
leader-lamport,slow_follower_120ms,write_heavy,1.007,1.0000
leader-lamport,slow_follower_120ms,write_heavy,1.291,1.0000
leader-lamport,slow_follower_120ms,write_heavy,1.556,1.0000
leader-lamport,slow_follower_120ms,write_heavy,1.808,1.0000
leader-lamport,slow_follower_120ms,write_heavy,2.065,1.0000
leader-lamport,slow_follower_120ms,write_heavy,2.318,1.0000
leader-lamport,slow_follower_120ms,write_heavy,2.568,1.0000
leader-lamport,slow_follower_120ms,write_heavy,2.871,1.0000
leader-lamport,slow_follower_120ms,write_heavy,3.137,1.0000
leader-lamport,slow_follower_120ms,write_heavy,3.388,1.0000
leader-lamport,slow_follower_120ms,write_heavy,3.641,1.0000
leader-lamport,slow_follower_120ms,write_heavy,3.888,1.0000
leader-lamport,slow_follower_120ms,write_heavy,4.137,1.0000
leader-lamport,slow_follower_120ms,write_heavy,4.390,1.0000
leader-lamport,slow_follower_120ms,write_heavy,4.640,1.0000
leader-lamport,slow_follower_120ms,write_heavy,4.891,1.0000
leader-lamport,slow_follower_120ms,write_heavy,5.146,1.0000
leader-lamport,slow_follower_120ms,write_heavy,5.398,1.0000
leader-lamport,slow_follower_120ms,write_heavy,5.650,1.0000
