mode,scenario,workload,latency_ms
leader-lamport,baseline,read_heavy,7.0515
leader-lamport,baseline,read_heavy,18.0003
leader-lamport,baseline,read_heavy,12.8502
leader-lamport,baseline,read_heavy,3.5651
leader-lamport,baseline,read_heavy,2.9333
leader-lamport,baseline,read_heavy,0.5986
leader-lamport,baseline,read_heavy,2.7783
leader-lamport,baseline,read_heavy,2.9994
leader-lamport,baseline,read_heavy,4.3484
leader-lamport,baseline,read_heavy,1.0358
leader-lamport,baseline,read_heavy,1.0704
leader-lamport,baseline,read_heavy,0.5334
leader-lamport,baseline,read_heavy,0.4899
leader-lamport,baseline,read_heavy,0.5437
leader-lamport,baseline,read_heavy,0.9555
leader-lamport,baseline,read_heavy,1.0026
leader-lamport,baseline,read_heavy,2.2865
leader-lamport,baseline,read_heavy,0.5147
leader-lamport,baseline,read_heavy,5.0858
leader-lamport,baseline,read_heavy,1.5631
leader-lamport,baseline,read_heavy,0.6326
leader-lamport,baseline,read_heavy,2.1569
leader-lamport,baseline,read_heavy,1.1176
leader-lamport,baseline,read_heavy,3.5186
leader-lamport,baseline,read_heavy,0.7395
leader-lamport,baseline,read_heavy,0.8281
leader-lamport,baseline,read_heavy,2.6067
leader-lamport,baseline,read_heavy,4.0533
leader-lamport,baseline,read_heavy,13.0199
leader-lamport,baseline,read_heavy,2.3992
leader-lamport,baseline,read_heavy,1.2593
leader-lamport,baseline,read_heavy,1.0088
leader-lamport,baseline,read_heavy,7.4795
leader-lamport,baseline,read_heavy,0.8481
leader-lamport,baseline,read_heavy,1.0928
leader-lamport,baseline,read_heavy,0.3589
leader-lamport,baseline,read_heavy,2.1624
leader-lamport,baseline,read_heavy,0.7851
leader-lamport,baseline,read_heavy,1.6942
leader-lamport,baseline,read_heavy,2.3725
leader-lamport,baseline,read_heavy,2.1194
leader-lamport,baseline,read_heavy,2.5050
leader-lamport,baseline,read_heavy,1.2946
leader-lamport,baseline,read_heavy,0.9865
leader-lamport,baseline,read_heavy,3.9071
leader-lamport,baseline,read_heavy,3.3766
leader-lamport,baseline,read_heavy,0.3270
leader-lamport,baseline,read_heavy,2.2119
leader-lamport,baseline,read_heavy,5.4360
leader-lamport,baseline,read_heavy,15.9132
leader-lamport,baseline,read_heavy,49.9614
leader-lamport,baseline,read_heavy,12.1005
leader-lamport,baseline,read_heavy,0.8502
leader-lamport,baseline,read_heavy,7.7467
leader-lamport,baseline,read_heavy,1.2787
leader-lamport,baseline,read_heavy,1.7329
leader-lamport,baseline,read_heavy,0.7397
leader-lamport,baseline,read_heavy,1.9153
leader-lamport,baseline,read_heavy,26.4050
leader-lamport,baseline,read_heavy,30.6436
leader-lamport,baseline,read_heavy,13.9307
leader-lamport,baseline,read_heavy,2.2182
leader-lamport,baseline,read_heavy,1.9673
leader-lamport,baseline,read_heavy,3.6562
leader-lamport,baseline,read_heavy,22.5526
leader-lamport,baseline,read_heavy,3.6956
leader-lamport,baseline,read_heavy,2.1420
leader-lamport,baseline,read_heavy,0.7962
leader-lamport,baseline,read_heavy,2.4426
leader-lamport,baseline,read_heavy,3.5431
leader-lamport,baseline,read_heavy,19.9878
leader-lamport,baseline,read_heavy,25.6964
leader-lamport,baseline,read_heavy,3.8126
leader-lamport,baseline,read_heavy,3.8882
leader-lamport,baseline,read_heavy,1.0199
leader-lamport,baseline,read_heavy,2.2494
leader-lamport,baseline,read_heavy,4.4061
leader-lamport,baseline,read_heavy,5.9390
leader-lamport,baseline,read_heavy,11.9980
leader-lamport,baseline,read_heavy,4.3151
leader-lamport,baseline,read_heavy,8.5986
leader-lamport,baseline,read_heavy,1.8935
leader-lamport,baseline,read_heavy,0.7918
leader-lamport,baseline,read_heavy,1.2812
leader-lamport,baseline,read_heavy,2.8575
leader-lamport,baseline,read_heavy,1.6601
leader-lamport,baseline,read_heavy,0.9170
leader-lamport,baseline,read_heavy,6.9739
leader-lamport,baseline,read_heavy,0.9268
leader-lamport,baseline,read_heavy,1.2151
leader-lamport,baseline,read_heavy,0.8115
leader-lamport,baseline,read_heavy,1.4183
leader-lamport,baseline,read_heavy,2.8128
leader-lamport,baseline,read_heavy,0.8511
leader-lamport,baseline,read_heavy,1.1313
leader-lamport,baseline,read_heavy,0.7999
leader-lamport,baseline,read_heavy,0.6441
leader-lamport,baseline,read_heavy,0.8603
leader-lamport,baseline,read_heavy,2.0135
leader-lamport,baseline,read_heavy,2.3624
leader-lamport,baseline,read_heavy,7.4072
leader-lamport,baseline,read_heavy,3.3479
leader-lamport,baseline,read_heavy,0.8147
leader-lamport,baseline,read_heavy,0.7583
leader-lamport,baseline,read_heavy,0.8786
leader-lamport,baseline,read_heavy,4.1659
leader-lamport,baseline,read_heavy,25.8578
leader-lamport,baseline,read_heavy,10.5103
leader-lamport,baseline,read_heavy,3.1900
leader-lamport,baseline,read_heavy,15.2590
leader-lamport,baseline,read_heavy,5.8236
leader-lamport,baseline,read_heavy,12.2194
leader-lamport,baseline,read_heavy,1.5069
leader-lamport,baseline,read_heavy,0.8792
leader-lamport,baseline,read_heavy,0.9724
leader-lamport,baseline,read_heavy,1.0340
leader-lamport,baseline,read_heavy,2.1495
leader-lamport,baseline,read_heavy,3.4685
leader-lamport,baseline,read_heavy,1.2413
leader-lamport,baseline,read_heavy,0.4689
leader-lamport,baseline,read_heavy,0.5871
leader-lamport,baseline,read_heavy,0.5927
leader-lamport,baseline,read_heavy,0.4738
leader-lamport,baseline,read_heavy,0.4047
leader-lamport,baseline,read_heavy,0.7860
leader-lamport,baseline,read_heavy,0.5858
leader-lamport,baseline,read_heavy,1.0047
leader-lamport,baseline,read_heavy,0.8116
leader-lamport,baseline,read_heavy,2.6378
leader-lamport,baseline,read_heavy,1.4667
leader-lamport,baseline,read_heavy,6.6790
leader-lamport,baseline,read_heavy,1.6990
leader-lamport,baseline,read_heavy,3.2354
leader-lamport,baseline,read_heavy,12.4975
leader-lamport,baseline,read_heavy,0.4876
leader-lamport,baseline,read_heavy,0.8903
leader-lamport,baseline,read_heavy,1.2382
leader-lamport,baseline,read_heavy,2.8342
leader-lamport,baseline,read_heavy,1.8543
leader-lamport,baseline,read_heavy,5.0805
leader-lamport,baseline,read_heavy,2.4883
leader-lamport,baseline,read_heavy,1.0858
leader-lamport,baseline,read_heavy,7.3054
leader-lamport,baseline,read_heavy,0.9977
leader-lamport,baseline,read_heavy,0.6226
leader-lamport,baseline,read_heavy,0.5191
leader-lamport,baseline,read_heavy,2.7372
leader-lamport,baseline,read_heavy,0.9899
leader-lamport,baseline,read_heavy,3.6412
leader-lamport,baseline,read_heavy,0.7429
leader-lamport,baseline,write_heavy,0.7216
leader-lamport,baseline,write_heavy,2.6910
leader-lamport,baseline,write_heavy,3.2960
leader-lamport,baseline,write_heavy,1.6623
leader-lamport,baseline,write_heavy,6.7603
leader-lamport,baseline,write_heavy,2.4866
leader-lamport,baseline,write_heavy,2.7798
leader-lamport,baseline,write_heavy,2.8036
leader-lamport,baseline,write_heavy,2.7367
leader-lamport,baseline,write_heavy,1.4124
leader-lamport,baseline,write_heavy,0.3670
leader-lamport,baseline,write_heavy,5.0559
leader-lamport,baseline,write_heavy,1.8208
leader-lamport,baseline,write_heavy,6.3877
leader-lamport,baseline,write_heavy,1.8120
leader-lamport,baseline,write_heavy,0.6495
leader-lamport,baseline,write_heavy,3.8331
leader-lamport,baseline,write_heavy,5.3277
leader-lamport,baseline,write_heavy,2.3112
leader-lamport,baseline,write_heavy,1.6755
leader-lamport,baseline,write_heavy,0.4194
leader-lamport,baseline,write_heavy,1.3522
leader-lamport,baseline,write_heavy,0.3411
leader-lamport,baseline,write_heavy,0.9959
leader-lamport,baseline,write_heavy,0.7425
leader-lamport,baseline,write_heavy,0.7739
leader-lamport,baseline,write_heavy,2.9750
leader-lamport,baseline,write_heavy,0.3387
leader-lamport,baseline,write_heavy,0.8527
leader-lamport,baseline,write_heavy,0.2792
leader-lamport,baseline,write_heavy,0.8212
leader-lamport,baseline,write_heavy,0.7327
leader-lamport,baseline,write_heavy,0.7850
leader-lamport,baseline,write_heavy,0.8184
leader-lamport,baseline,write_heavy,0.8930
leader-lamport,baseline,write_heavy,0.8098
leader-lamport,baseline,write_heavy,0.8946
leader-lamport,baseline,write_heavy,0.8474
leader-lamport,baseline,write_heavy,0.8854
leader-lamport,baseline,write_heavy,0.3554
leader-lamport,baseline,write_heavy,0.5987
leader-lamport,baseline,write_heavy,0.4700
leader-lamport,baseline,write_heavy,4.8733
leader-lamport,baseline,write_heavy,0.7436
leader-lamport,baseline,write_heavy,1.0130
leader-lamport,baseline,write_heavy,0.9657
leader-lamport,baseline,write_heavy,0.2763
leader-lamport,baseline,write_heavy,1.2219
leader-lamport,baseline,write_heavy,1.0662
leader-lamport,baseline,write_heavy,0.9242
leader-lamport,baseline,write_heavy,1.0379
leader-lamport,baseline,write_heavy,3.3480
leader-lamport,baseline,write_heavy,2.4848
leader-lamport,baseline,write_heavy,1.2688
leader-lamport,baseline,write_heavy,3.3326
leader-lamport,baseline,write_heavy,1.9272
leader-lamport,baseline,write_heavy,1.7463
leader-lamport,baseline,write_heavy,0.8172
leader-lamport,baseline,write_heavy,0.2499
leader-lamport,baseline,write_heavy,0.2738
leader-lamport,baseline,write_heavy,3.8532
leader-lamport,baseline,write_heavy,0.4956
leader-lamport,baseline,write_heavy,0.3417
leader-lamport,baseline,write_heavy,0.9145
leader-lamport,baseline,write_heavy,0.8859
leader-lamport,baseline,write_heavy,1.0640
leader-lamport,baseline,write_heavy,1.1084
leader-lamport,baseline,write_heavy,1.7739
leader-lamport,baseline,write_heavy,1.2048
leader-lamport,baseline,write_heavy,0.8234
leader-lamport,baseline,write_heavy,0.2765
leader-lamport,baseline,write_heavy,0.9248
leader-lamport,baseline,write_heavy,2.3558
leader-lamport,baseline,write_heavy,1.4181
leader-lamport,baseline,write_heavy,0.5594
leader-lamport,baseline,write_heavy,1.1834
leader-lamport,baseline,write_heavy,1.2623
leader-lamport,baseline,write_heavy,1.0831
leader-lamport,baseline,write_heavy,1.2385
leader-lamport,baseline,write_heavy,1.0834
leader-lamport,baseline,write_heavy,0.7875
leader-lamport,baseline,write_heavy,0.9021
leader-lamport,baseline,write_heavy,4.4054
leader-lamport,baseline,write_heavy,0.3842
leader-lamport,baseline,write_heavy,0.3514
leader-lamport,baseline,write_heavy,0.7663
leader-lamport,baseline,write_heavy,0.8197
leader-lamport,baseline,write_heavy,0.7573
leader-lamport,baseline,write_heavy,0.7276
leader-lamport,baseline,write_heavy,0.2840
leader-lamport,baseline,write_heavy,0.8579
leader-lamport,baseline,write_heavy,0.9159
leader-lamport,baseline,write_heavy,0.9344
leader-lamport,baseline,write_heavy,0.7255
leader-lamport,baseline,write_heavy,0.8112
leader-lamport,baseline,write_heavy,1.0167
leader-lamport,baseline,write_heavy,0.2935
leader-lamport,baseline,write_heavy,4.4927
leader-lamport,baseline,write_heavy,1.6505
leader-lamport,baseline,write_heavy,1.4262
leader-lamport,baseline,write_heavy,1.5223
leader-lamport,baseline,write_heavy,1.5122
leader-lamport,baseline,write_heavy,2.3170
leader-lamport,baseline,write_heavy,3.5594
leader-lamport,baseline,write_heavy,1.1038
leader-lamport,baseline,write_heavy,1.7932
leader-lamport,baseline,write_heavy,2.7249
leader-lamport,baseline,write_heavy,1.1783
leader-lamport,baseline,write_heavy,0.2222
leader-lamport,baseline,write_heavy,0.6733
leader-lamport,baseline,write_heavy,0.6606
leader-lamport,baseline,write_heavy,0.8926
leader-lamport,baseline,write_heavy,1.0139
leader-lamport,baseline,write_heavy,4.6751
leader-lamport,baseline,write_heavy,1.0929
leader-lamport,baseline,write_heavy,1.5177
leader-lamport,baseline,write_heavy,2.3590
leader-lamport,baseline,write_heavy,1.3150
leader-lamport,baseline,write_heavy,0.6612
leader-lamport,baseline,write_heavy,0.7370
leader-lamport,baseline,write_heavy,0.2140
leader-lamport,baseline,write_heavy,2.7892
leader-lamport,baseline,write_heavy,1.0000
leader-lamport,baseline,write_heavy,0.9061
leader-lamport,baseline,write_heavy,0.8393
leader-lamport,baseline,write_heavy,0.2236
leader-lamport,baseline,write_heavy,0.9413
leader-lamport,baseline,write_heavy,2.3053
leader-lamport,baseline,write_heavy,2.2814
leader-lamport,baseline,write_heavy,5.0028
leader-lamport,baseline,write_heavy,1.6980
leader-lamport,baseline,write_heavy,0.9630
leader-lamport,baseline,write_heavy,0.2075
leader-lamport,baseline,write_heavy,0.6369
leader-lamport,baseline,write_heavy,0.8130
leader-lamport,baseline,write_heavy,0.6764
leader-lamport,baseline,write_heavy,0.8320
leader-lamport,baseline,write_heavy,0.2314
leader-lamport,baseline,write_heavy,0.8564
leader-lamport,baseline,write_heavy,0.9398
leader-lamport,baseline,write_heavy,0.8901
leader-lamport,baseline,write_heavy,1.0501
leader-lamport,baseline,write_heavy,0.7985
leader-lamport,baseline,write_heavy,4.1688
leader-lamport,baseline,write_heavy,1.1130
leader-lamport,baseline,write_heavy,1.3960
leader-lamport,baseline,write_heavy,1.2074
leader-lamport,baseline,write_heavy,1.4970
leader-lamport,baseline,write_heavy,1.6393
leader-lamport,baseline,write_heavy,4.2882
leader-lamport,baseline,mixed,5.3097
leader-lamport,baseline,mixed,28.3158
leader-lamport,baseline,mixed,11.6160
