mode,scenario,workload,ops,completed,errors,throughput_ops_sec,p50_ms,p95_ms,p99_ms,p999_ms,availability,repair_ops_total,repair_bytes_total,read_repair_ops_total,anti_entropy_rounds_total
leader-lamport,baseline,read_heavy,150,150,0,232.87,1.967,18.000,30.644,49.961,1.0000,0,0,0,0
leader-lamport,baseline,write_heavy,150,150,0,666.29,0.996,4.493,6.388,6.760,1.0000,0,0,0,0
leader-lamport,baseline,mixed,180,180,0,252.44,2.002,12.542,28.316,92.502,1.0000,0,0,0,0
leader-lamport,slow_follower_120ms,read_heavy,150,150,0,38.71,0.609,127.731,132.317,133.084,1.0000,0,0,0,0
leader-lamport,slow_follower_120ms,write_heavy,150,150,0,9.65,124.831,146.618,186.054,301.252,1.0000,0,0,0,0
leader-lamport,slow_follower_120ms,mixed,180,180,0,13.73,122.726,134.780,214.758,233.496,1.0000,0,0,0,0
leader-lamport,fail_slow_burst,read_heavy,150,150,0,215.55,0.508,7.788,152.498,155.624,1.0000,0,0,0,0
leader-lamport,fail_slow_burst,write_heavy,150,150,0,69.10,0.877,154.523,157.264,162.130,1.0000,0,0,0,0
leader-lamport,fail_slow_burst,mixed,180,180,0,51.45,1.573,156.564,191.464,260.465,1.0000,0,0,0,0
leader-lamport,correlated_slow_120ms,read_heavy,150,150,0,39.00,0.474,126.796,128.692,129.624,1.0000,0,0,0,0
leader-lamport,correlated_slow_120ms,write_heavy,150,150,0,9.93,124.929,128.885,143.208,157.658,1.0000,0,0,0,0
leader-lamport,correlated_slow_120ms,mixed,180,180,0,13.72,123.090,129.808,158.677,358.771,1.0000,0,0,0,0
leader-lamport,background_repair_traffic,read_heavy,150,150,0,1947.96,0.278,1.339,3.468,4.511,1.0000,0,0,0,0
leader-lamport,background_repair_traffic,write_heavy,150,150,0,1416.16,0.618,1.444,2.165,2.727,1.0000,2,2048,0,3
leader-lamport,background_repair_traffic,mixed,180,180,0,1309.23,0.518,2.401,4.107,7.733,1.0000,2,2048,0,6
leader-lamport,node_crash_midrun,read_heavy,150,150,0,2392.56,0.242,1.338,1.980,2.756,1.0000,0,0,0,0
leader-lamport,node_crash_midrun,write_heavy,150,150,0,1879.98,0.576,0.761,1.124,1.168,1.0000,0,0,0,0
leader-lamport,node_crash_midrun,mixed,180,180,0,2344.76,0.543,0.661,1.048,1.300,1.0000,0,0,0,0
leader-vector,baseline,read_heavy,150,150,0,2003.23,0.328,1.409,2.160,2.172,1.0000,0,0,0,0
leader-vector,baseline,write_heavy,150,150,0,1861.19,0.568,0.875,1.092,1.610,1.0000,0,0,0,0
leader-vector,baseline,mixed,180,180,0,2423.50,0.538,0.649,0.882,0.966,1.0000,0,0,0,0
leader-vector,slow_follower_120ms,read_heavy,150,150,0,36.98,0.637,127.298,159.625,179.948,1.0000,0,0,0,0
leader-vector,slow_follower_120ms,write_heavy,150,150,0,9.83,126.634,129.273,130.512,131.513,1.0000,0,0,0,0
leader-vector,slow_follower_120ms,mixed,180,180,0,14.08,123.733,128.451,134.224,145.172,1.0000,0,0,0,0
leader-vector,fail_slow_burst,read_heavy,150,150,0,274.35,0.408,1.398,157.119,157.275,1.0000,0,0,0,0
leader-vector,fail_slow_burst,write_heavy,150,150,0,67.67,1.332,156.306,157.864,158.121,1.0000,0,0,0,0
leader-vector,fail_slow_burst,mixed,180,180,0,87.37,0.919,153.514,156.842,159.201,1.0000,0,0,0,0
leader-vector,correlated_slow_120ms,read_heavy,150,150,0,38.52,0.731,128.134,129.536,129.544,1.0000,0,0,0,0
leader-vector,correlated_slow_120ms,write_heavy,150,150,0,9.82,126.801,129.052,130.044,130.462,1.0000,0,0,0,0
leader-vector,correlated_slow_120ms,mixed,180,180,0,14.09,124.351,128.315,128.898,145.427,1.0000,0,0,0,0
leader-vector,background_repair_traffic,read_heavy,150,150,0,2017.27,0.335,1.222,1.743,2.002,1.0000,0,0,0,0
leader-vector,background_repair_traffic,write_heavy,150,150,0,1828.37,0.574,0.894,1.195,1.297,1.0000,0,0,0,3
leader-vector,background_repair_traffic,mixed,180,180,0,2389.23,0.548,0.646,0.890,1.004,1.0000,0,0,0,3
leader-vector,node_crash_midrun,read_heavy,150,150,0,2295.99,0.294,1.019,1.590,2.350,1.0000,0,0,0,0
leader-vector,node_crash_midrun,write_heavy,150,150,0,1794.00,0.579,0.904,1.727,1.796,1.0000,0,0,0,0
leader-vector,node_crash_midrun,mixed,180,180,0,2407.08,0.526,0.690,0.857,0.907,1.0000,0,0,0,0
quorum-w2r2,baseline,read_heavy,150,150,0,1227.30,0.679,1.398,3.763,3.786,1.0000,0,0,0,0
