# Latency summary — all erasure-code experiments
# code,n,k,d,fail_label,n_failed,rate_req_s,phase,avg_lat_ms,p50_ms,p95_ms,p99_ms,n_reqs
mbr,10000,3,5,0,1,10.0,degraded,0.0387,0.0400,0.0800,0.1000,10000
mbr,10000,3,5,0,1,10.0,normal,0.0388,0.0400,0.0800,0.1000,10000
mbr,10000,3,5,0,1,20.0,degraded,0.0387,0.0400,0.0800,0.1000,10000
mbr,10000,3,5,0,1,20.0,normal,0.0388,0.0400,0.0800,0.1000,10000
mbr,10000,3,5,0,1,40.0,degraded,0.0388,0.0400,0.0800,0.1000,10000
mbr,10000,3,5,0,1,40.0,normal,0.0388,0.0400,0.0800,0.1000,10000
mbr,10000,3,5,0,1,80.0,degraded,0.0388,0.0400,0.0800,0.1000,10000
mbr,10000,3,5,0,1,80.0,normal,0.0388,0.0400,0.0800,0.1000,10000
mbr,10000,3,5,0,1,160.0,degraded,0.0389,0.0400,0.0800,0.1000,10000
mbr,10000,3,5,0,1,160.0,normal,0.0389,0.0400,0.0800,0.1000,10000
mbr,10000,3,5,0,1,320.0,degraded,0.0390,0.0400,0.0800,0.1000,10000
mbr,10000,3,5,0,1,320.0,normal,0.0390,0.0400,0.0800,0.1000,10000
mbr,10000,3,5,0,1,640.0,degraded,0.0394,0.0400,0.0800,0.1200,10000
mbr,10000,3,5,0,1,640.0,normal,0.0394,0.0400,0.0800,0.1200,10000
mbr,10000,3,5,0,1,1000.0,degraded,0.0398,0.0400,0.0800,0.1200,10000
mbr,10000,3,5,0,1,1000.0,normal,0.0398,0.0400,0.0800,0.1200,10000
mbr,10000,3,5,0,1,1280.0,degraded,0.0401,0.0400,0.0800,0.1200,10000
mbr,10000,3,5,0,1,1280.0,normal,0.0401,0.0400,0.0800,0.1200,10000
mbr,10000,3,5,0,1,2000.0,degraded,0.0410,0.0400,0.0800,0.1386,10000
mbr,10000,3,5,0,1,2000.0,normal,0.0411,0.0400,0.0800,0.1400,10000
mbr,10000,3,5,0,1,2560.0,degraded,0.0417,0.0400,0.0800,0.1413,10000
mbr,10000,3,5,0,1,2560.0,normal,0.0419,0.0400,0.0800,0.1437,10000
mbr,10000,3,5,0,1,4000.0,degraded,0.0439,0.0400,0.0973,0.1681,10000
mbr,10000,3,5,0,1,4000.0,normal,0.0441,0.0400,0.0964,0.1722,10000
mbr,10000,3,5,0,1,5120.0,degraded,0.0460,0.0400,0.1002,0.1897,10000
mbr,10000,3,5,0,1,5120.0,normal,0.0460,0.0400,0.1006,0.1926,10000
mbr,10000,3,5,0,1,8000.0,degraded,0.0534,0.0400,0.1395,0.2738,10000
