# Latency summary — all erasure-code experiments
# code,n,k,d,fail_label,n_failed,rate_req_s,phase,avg_lat_ms,p50_ms,p95_ms,p99_ms,n_reqs
mbr,10000,3,5,0,1,1000.0,degraded,0.0145,0.0134,0.0140,0.0407,10000
mbr,10000,3,5,0,1,1000.0,normal,0.0145,0.0134,0.0140,0.0419,10000
mbr,10000,3,5,0,1,2000.0,degraded,0.0147,0.0134,0.0178,0.0536,10000
mbr,10000,3,5,0,1,2000.0,normal,0.0147,0.0134,0.0180,0.0536,10000
mbr,10000,3,5,0,1,4000.0,degraded,0.0150,0.0134,0.0236,0.0536,10000
mbr,10000,3,5,0,1,4000.0,normal,0.0151,0.0134,0.0236,0.0536,10000
mbr,10000,3,5,0,1,8000.0,degraded,0.0157,0.0134,0.0266,0.0597,10000
mbr,10000,3,5,0,1,8000.0,normal,0.0159,0.0134,0.0267,0.0670,10000
mbr,10000,3,5,0,1,16000.0,degraded,0.0178,0.0136,0.0311,0.0892,10000
mbr,10000,3,5,0,1,16000.0,normal,0.0182,0.0136,0.0316,0.1037,10000
mbr,10000,3,5,0,1,32000.0,degraded,0.0278,0.0136,0.0650,0.2878,10000
mbr,10000,3,5,0,1,32000.0,normal,0.0273,0.0136,0.0674,0.2606,10000
mbr,10000,3,5,0,1,34909.0,degraded,0.0310,0.0153,0.0757,0.3532,10000
mbr,10000,3,5,0,1,34909.0,normal,0.0299,0.0140,0.0806,0.2946,10000
mbr,10000,3,5,0,1,37818.0,degraded,0.0348,0.0176,0.0910,0.4225,10000
mbr,10000,3,5,0,1,37818.0,normal,0.0332,0.0163,0.0987,0.3398,10000
mbr,10000,3,5,0,1,40727.0,degraded,0.0400,0.0198,0.1173,0.4722,10000
mbr,10000,3,5,0,1,40727.0,normal,0.0374,0.0184,0.1244,0.3907,10000
mbr,10000,3,5,0,1,43636.0,degraded,0.0467,0.0218,0.1474,0.5508,10000
mbr,10000,3,5,0,1,43636.0,normal,0.0429,0.0207,0.1599,0.4356,10000
mbr,10000,3,5,0,1,46545.0,degraded,0.0548,0.0237,0.2033,0.6723,10000
mbr,10000,3,5,0,1,46545.0,normal,0.0511,0.0230,0.2171,0.5126,10000
mbr,10000,3,5,0,1,49455.0,degraded,0.0654,0.0258,0.2746,0.7374,10000
mbr,10000,3,5,0,1,49455.0,normal,0.0647,0.0251,0.3125,0.6361,10000
